Delhi,Delhi,"Shadipur, Delhi - CPCB",25-02-2023,16:00:00,342,259,80,13,20,30,30,342,Hazardous
Delhi,Delhi,"Sirifort, Delhi - CPCB",25-02-2023,16:00:00,214,200,NA,NA,13,81,18,214,Very Unhealthy
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",25-02-2023,16:00:00,239,219,30,11,4,57,22,239,Very Unhealthy
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25-02-2023,16:00:00,162,133,36,6,10,39,68,162,Unhealthy
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",25-02-2023,16:00:00,205,212,46,10,7,85,17,212,Very Unhealthy
Delhi,Delhi,"Wazirpur, Delhi - DPCC",25-02-2023,16:00:00,242,237,50,14,NA,44,36,242,Very Unhealthy
Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",25-02-2023,16:00:00,152,115,11,2,12,16,20,152,Unhealthy
Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",25-02-2023,16:00:00,160,142,119,NA,34,30,72,160,Unhealthy
Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",25-02-2023,16:00:00,282,212,3,1,16,NA,24,282,Very Unhealthy
Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",25-02-2023,16:00:00,220,185,33,15,12,40,6,220,Very Unhealthy
Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",25-02-2023,16:00:00,119,124,17,7,11,24,NA,124,Sensitive groups
Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",25-02-2023,16:00:00,96,111,12,6,6,NA,4,111,Sensitive groups
Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",25-02-2023,16:00:00,214,156,11,2,NA,33,5,214,Very Unhealthy
Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,70,28,NA,NA
Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",25-02-2023,16:00:00,166,139,NA,1,1,8,17,166,Unhealthy
Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",25-02-2023,16:00:00,248,125,6,2,7,28,12,248,Very Unhealthy
Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",25-02-2023,16:00:00,95,111,13,3,8,37,20,111,Sensitive groups
Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",25-02-2023,16:00:00,30,26,NA,NA,1,NA,NA,30,Good
Gujarat,Surat,"Science Center, Surat - SMC",25-02-2023,16:00:00,222,139,10,NA,2,63,NA,222,Very Unhealthy
Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,169,1,NA,NA
Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",25-02-2023,16:00:00,240,207,41,8,19,83,NA,240,Very Unhealthy
Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",25-02-2023,16:00:00,67,80,6,17,NA,53,59,80,Moderate
Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",25-02-2023,16:00:00,152,138,40,6,8,46,69,152,Unhealthy
Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",25-02-2023,16:00:00,241,153,6,2,9,64,14,241,Very Unhealthy
Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",25-02-2023,16:00:00,111,120,31,3,11,45,43,120,Sensitive groups
Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",25-02-2023,16:00:00,185,148,39,11,8,40,16,185,Unhealthy
Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",25-02-2023,16:00:00,223,196,31,8,13,29,22,223,Very Unhealthy
Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,44,17,NA,NA
Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",25-02-2023,16:00:00,295,215,31,6,30,70,18,295,Very Unhealthy
Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",25-02-2023,16:00:00,191,146,31,9,7,56,31,191,Unhealthy
Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,64,30,NA,NA
Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",25-02-2023,16:00:00,168,144,81,NA,NA,36,165,168,Unhealthy
Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",25-02-2023,16:00:00,303,242,31,20,3,52,37,303,Hazardous
Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",25-02-2023,16:00:00,187,212,16,22,4,45,26,212,Very Unhealthy
Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",25-02-2023,16:00:00,NA,NA,50,NA,30,32,58,NA,NA
Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",25-02-2023,16:00:00,116,189,44,18,NA,50,17,189,Unhealthy
Haryana,Jind,"Police Lines, Jind - HSPCB",25-02-2023,16:00:00,120,91,47,7,22,66,16,120,Sensitive groups
Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",25-02-2023,16:00:00,110,118,13,5,25,29,42,118,Sensitive groups
Haryana,Karnal,"Sector-12, Karnal - HSPCB",25-02-2023,16:00:00,73,83,10,11,7,32,47,83,Moderate
Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",25-02-2023,16:00:00,114,97,36,3,14,33,38,114,Sensitive groups
Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",25-02-2023,16:00:00,29,91,17,13,25,36,20,91,Moderate
Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",25-02-2023,16:00:00,178,142,61,29,6,36,13,178,Unhealthy
Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",25-02-2023,16:00:00,161,164,20,6,7,36,27,164,Unhealthy
Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",25-02-2023,16:00:00,86,73,24,9,13,24,32,86,Moderate
Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",25-02-2023,16:00:00,64,NA,27,NA,9,41,21,64,Moderate
Haryana,Panipat,"Sector-18, Panipat - HSPCB",25-02-2023,16:00:00,27,119,22,8,12,28,32,119,Sensitive groups
Haryana,Rohtak,"MD University, Rohtak - HSPCB",25-02-2023,16:00:00,104,NA,40,NA,7,14,39,104,Sensitive groups
Haryana,Sirsa,"F-Block, Sirsa - HSPCB",25-02-2023,16:00:00,114,132,38,9,26,43,82,132,Sensitive groups
Haryana,Sonipat,"Murthal, Sonipat - HSPCB",25-02-2023,16:00:00,84,160,40,12,20,36,29,160,Unhealthy
Haryana,Yamunanagar,"Gobind Pura, Yamuna Nagar - HSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,43,32,NA,NA
Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",25-02-2023,16:00:00,175,170,41,5,62,39,170,175,Unhealthy
Jammu_&_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,15,8,NA,NA
Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",25-02-2023,16:00:00,NA,172,17,1,37,87,22,172,Unhealthy
Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",25-02-2023,16:00:00,38,50,13,2,NA,34,NA,50,Good
Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",25-02-2023,16:00:00,49,161,56,4,24,45,17,161,Unhealthy
Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",25-02-2023,16:00:00,53,53,27,2,9,37,19,53,Moderate
Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,60,19,NA,NA
Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",25-02-2023,16:00:00,38,90,51,2,13,17,19,90,Moderate
Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",25-02-2023,16:00:00,55,82,39,NA,6,19,34,82,Moderate
Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",25-02-2023,16:00:00,58,88,27,2,4,23,25,88,Moderate
Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",25-02-2023,16:00:00,57,63,36,3,15,22,39,63,Moderate
Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",25-02-2023,16:00:00,74,102,8,2,3,31,31,102,Sensitive groups
Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",25-02-2023,16:00:00,NA,52,30,NA,11,44,NA,52,Moderate
Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,47,90,NA,NA
Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",25-02-2023,16:00:00,81,86,29,2,7,34,34,86,Moderate
Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",25-02-2023,16:00:00,26,38,24,2,3,32,16,38,Good
Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",25-02-2023,16:00:00,48,84,53,4,11,23,13,84,Moderate
Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",25-02-2023,16:00:00,41,52,16,2,3,16,21,52,Moderate
Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",25-02-2023,16:00:00,63,93,NA,NA,NA,NA,NA,NA,NA
Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",25-02-2023,16:00:00,37,35,10,1,31,26,78,78,Moderate
Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB",25-02-2023,16:00:00,61,77,1,NA,6,3,12,77,Moderate
Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",25-02-2023,16:00:00,126,84,22,1,14,33,16,126,Sensitive groups
Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",25-02-2023,16:00:00,107,114,7,NA,12,62,41,114,Sensitive groups
Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",25-02-2023,16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karnataka,Kalaburgi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",25-02-2023,16:00:00,133,130,NA,NA,NA,10,NA,133,Sensitive groups
Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",25-02-2023,16:00:00,NA,NA,37,1,167,NA,NA,NA,NA
Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",25-02-2023,16:00:00,43,98,19,NA,6,79,51,98,Moderate
Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",25-02-2023,16:00:00,32,33,5,1,37,21,36,37,Good
Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",25-02-2023,16:00:00,90,121,8,9,9,24,18,121,Sensitive groups
Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",25-02-2023,16:00:00,36,51,20,3,12,30,46,51,Moderate
Karnataka,Raichur,"Haji Colony, Raichur - KSPCB",25-02-2023,16:00:00,NA,131,28,NA,35,32,15,131,Sensitive groups
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",25-02-2023,16:00:00,58,81,47,5,27,6,20,81,Moderate
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",25-02-2023,16:00:00,45,49,8,4,5,22,29,49,Good
Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB",25-02-2023,16:00:00,NA,16,23,2,103,106,NA,106,Sensitive groups
Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",25-02-2023,16:00:00,33,46,21,4,5,22,15,46,Good
